,ID,Tweet
2017-12-04 17:07:07,937729996264747010,nanci wake gloria steinem amelia earha millic fawcett angela merkel gal gadot malala yousafsai mona eltahaw
2017-12-04 17:07:04,937729979923779584,true dope said need us angela merkel would order th
2017-12-04 17:06:33,937729851850739712,destroy nation angela merkel un driven econom destruct employ obama state merkel en
2017-12-04 17:06:13,937729766127489025,angela merkel face undermin eu rival hungari orban make alli germani
2017-12-04 17:05:21,937729548732583936,destroy nation angela merkel un driven econom destruct employ obama state merkel en
2017-12-04 17:05:16,937729528654454784,islam affect live much day angela merkel troubl islam nightmar flight check islam presi
2017-12-04 17:02:59,937728954223513601,breitba lol
2017-12-04 17:02:38,937728865639612416,qualifi repatri think along coupl whistl
2017-12-04 17:02:09,937728746341261314,toler merkel govern furi germani without leader seven weeek
2017-12-04 17:01:18,937728528673624064,brussel poodl macron phone german lefti main schulz urg keep angela merkel power se
2017-12-04 17:00:46,937728395001069568,brussel poodl macron phone german lefti main schulz urg keep angela merkel power se
2017-12-04 17:00:34,937728344153559042,angela merkel face undermin eu rival hungari orban make german alli
2017-12-04 16:59:57,937728189673148416,brussel poodl macron phone german lefti main schulz urg keep angela merkel power se
2017-12-04 16:59:15,937728016217669633,brussel poodl macron phone german lefti main schulz urg keep angela merkel power se
2017-12-04 16:59:02,937727961251401729,destroy nation angela merkel un driven econom destruct employ obama state merkel en
2017-12-04 16:58:50,937727911762817024,destroy nation angela merkel un driven econom destruct employ obama state merkel en
2017-12-04 16:57:22,937727539656777728,interfer german opposit leader main schulz receiv call french prez macron urg prop
2017-12-04 16:56:39,937727358332801024,destroy nation angela merkel un driven econom destruct employ obama state merkel en
2017-12-04 16:55:57,937727184097202176,destroy nation angela merkel un driven econom destruct employ obama state merkel en
2017-12-04 16:54:46,937726884804165634,brussel poodl macron phone german lefti main schulz urg keep angela merkel power se
2017-12-04 16:53:39,937726606474391552,thought german car industri stalk angela merkel eu give britain marvel de
2017-12-04 16:53:26,937726549066952714,brussel poodl macron phone german lefti main schulz urg keep angela merkel power se
2017-12-04 16:52:58,937726433497178112,count number individu women person year one hand recent angela
2017-12-04 16:52:27,937726301590482944,destroy nation angela merkel un driven econom destruct employ obama state merkel en
2017-12-04 16:51:58,937726181293428737,huh joke right angela merkel margaret thatcher golda meir ring bell
2017-12-04 16:51:53,937726161270005761,destroy nation angela merkel un driven econom destruct employ obama state merkel en
2017-12-04 16:51:16,937726004956504064,dear europ merri christma angela merkel nigel farag fb page
2017-12-04 16:51:04,937725953563942912,dear europ merri christma angela merkel nigel farag fb page
2017-12-04 16:50:55,937725919355133953,angela merkel chief staff peter altmaier act financ minist sound exasper brexit theresa
2017-12-04 16:49:24,937725534624153602,angela merkel chief staff peter altmaier act financ minist sound exasper brexit
2017-12-04 16:49:15,937725497324191744,destroy nation angela merkel un driven econom destruct employ obama state merkel en
2017-12-04 16:49:08,937725467213344768,halsey gaga tove lo betti lord beyoncé rihanna kesha sia hillari clinton michell obama cate blanch
2017-12-04 16:49:03,937725446652915712,destroy nation angela merkel un driven econom destruct employ obama state merkel en
2017-12-04 16:48:37,937725340193034241,destroy nation angela merkel un driven econom destruct employ obama state merkel en
2017-12-04 16:48:05,937725204830326784,toler merkel govern furi germani without leader seven weeek
2017-12-04 16:47:26,937725041193705474,destroy nation angela merkel un driven econom destruct employ obama state merkel en
2017-12-04 16:47:13,937724984893435904,dear europ merri christma angela merkel nigel farag fb page
2017-12-04 16:47:11,937724978639917056,germani russian gas pipelin smell funni america via
