,ID,Tweet
2017-12-04 17:06:39,937729875217072128,glorious presid donald trump bannon barbarian smash mitt romney dream join democrat
2017-12-04 17:06:38,937729874478936069,fbi memo donald trump sta work fbi 1981 trust fbi enough inquir amp consult
2017-12-04 17:06:38,937729872109228032,republican roy moor fals accus republican donald trump handi rule thumb viualli actual predato
2017-12-04 17:06:38,937729871186481153,donald trump morn need republican roy moor win alabama morn need russian presiden
2017-12-04 17:06:38,937729870989348864,suggest trump obstruct justic laughabl noth less blank check lawless https
2017-12-04 17:06:37,937729870402027522,tri defend trump made vulner impeach
2017-12-04 17:06:37,937729870217469954,presid power fire someon express view perform mean c
2017-12-04 17:06:37,937729867516403713,donald trump tweet goodreasonstobeangri
2017-12-04 17:06:35,937729861019406336,presid power fire someon express view perform mean c
2017-12-04 17:06:35,937729859895169024,trump lawyer send tweet trump ask comey let flynn investig go hillari email
2017-12-04 17:06:35,937729859727618048,donald trump stop tweet outright defamatori statement everi random person abso
2017-12-04 17:06:35,937729858699976704,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:35,937729858397904896,retweet believ donald j trump greatest presid lifetim
2017-12-04 17:06:33,937729853327073280,day sworn gop hope moment would come sinc kept trump offic get lea
2017-12-04 17:06:33,937729853184528384,shoer trump lawyer donald trump law
2017-12-04 17:06:33,937729852341448706,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:33,937729851724886017,pedophil rejoic like nazi white supremacist kkk fine peopl donald trump libe
2017-12-04 17:06:32,937729848713383937,donald trump give us friend sorri lol exact deserv lead make beli
2017-12-04 17:06:32,937729846775558144,new top stori time presid donald trump head utah monday exp
2017-12-04 17:06:32,937729845617762304,pedophil rejoic like nazi white supremacist kkk fine peopl donald trump libe
2017-12-04 17:06:32,937729845584453632,presid donald trump power corner anim world risk find flail gna
2017-12-04 17:06:31,937729842925195265,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:31,937729842900033536,former san francisco 49er quaerback join presid donald trump special counsel robe mueller metoo mov
2017-12-04 17:06:31,937729842019217417,drop donald trump set come britain 26th 27th februari let make biggest demon
2017-12-04 17:06:30,937729840245075969,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:30,937729839976591361,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:30,937729839041318912,12 4 17 donald trump fulli endors roy moor cnnpolit
2017-12-04 17:06:29,937729836709158912,gallup democrat enjoy 7 point lead pay identif american identifi democrat b
2017-12-04 17:06:29,937729836486938624,donald trump clear someon speak whether trump tweet officia
2017-12-04 17:06:29,937729835199328256,billi bush want make one thing crystal clear donald j trump access hollywood tape
2017-12-04 17:06:29,937729834649825280,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:28,937729832208752643,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:28,937729831210381312,former san francisco 49er quaerback join presid donald trump special counsel robe mueller metoo mov
2017-12-04 17:06:28,937729830963105796,time releas person year finalist list includ donald trump kim jong un
2017-12-04 17:06:28,937729830447132672,former us attorney preet bharara say worri donald trump may decid caus fire robe mueller http
2017-12-04 17:06:27,937729828463063040,donald trump
2017-12-04 17:06:27,937729825187360768,john dowd actual wrote tweet fire stun legal malpractic tell addi
2017-12-04 17:06:27,937729824646238208,believ assault alleg donald trump recap pbs newshour
2017-12-04 17:06:26,937729822733635585,john dowd actual wrote tweet fire stun legal malpractic tell addi
2017-12-04 17:06:26,937729821232259072,even disturb fact donald trump attack fbi fact fbi director appoint
2017-12-04 17:06:26,937729820540186624,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:25,937729818577309696,retweet believ donald j trump greatest presid lifetim
2017-12-04 17:06:25,937729818329694208,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:25,937729817553899522,presid donald trump say michael flynn treat unfair implicit criticis us special counsel c
2017-12-04 17:06:25,937729817381933056,offici donald trump public endors child molest alabama gop senat candid roy moor twitter morn
2017-12-04 17:06:25,937729817188929536,presid power fire someon express view perform mean c
2017-12-04 17:06:25,937729817092399104,trump lawyer send tweet trump ask comey let flynn investig go hillari email
2017-12-04 17:06:25,937729816333312001,presid donald trump endors alabama gop senat candid roy moor accus sexual misconduct
2017-12-04 17:06:24,937729815808966656,arrog ignor claim wrong anyth trump legal team serv
2017-12-04 17:06:24,937729814378745858,presid power fire someon express view perform mean c
2017-12-04 17:06:24,937729813653188609,pedophil rejoic like nazi white supremacist kkk fine peopl donald trump libe
2017-12-04 17:06:24,937729813489569792,donald trump morn need republican roy moor win alabama morn need russian presiden
2017-12-04 17:06:24,937729813393104898,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:24,937729812675923969,donald trump bill taxpay thousand dollar rent golf cas secret servic play golf
2017-12-04 17:06:24,937729812034195457,billi bush believ women accus donald trump attack via
2017-12-04 17:06:23,937729810972971009,pedophil rejoic like nazi white supremacist kkk fine peopl donald trump libe
2017-12-04 17:06:22,937729807667814400,presid power fire someon express view perform mean c
2017-12-04 17:06:22,937729806334128128,john dowd actual wrote tweet fire stun legal malpractic tell addi
2017-12-04 17:06:22,937729805247692802,walk back endors pedophil line donald trump cross
2017-12-04 17:06:22,937729804853420032,thought jog memori friend donald
2017-12-04 17:06:22,937729803922309120,spot go talk law focus must deal realiti
2017-12-04 17:06:22,937729803859451905,washington ap presid donald trump accus sexual assault dozen women endors alabam
2017-12-04 17:06:22,937729803800793089,presid power fire someon express view perform mean c
2017-12-04 17:06:22,937729803792338944,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:21,937729801758093313,pedophil rejoic like nazi white supremacist kkk fine peopl donald trump libe
2017-12-04 17:06:20,937729798532722694,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:20,937729797647687680,billi bush yes donald trump said
2017-12-04 17:06:19,937729794833129474,donald trump lawyer dowd say charg obstruct justic tell richard
2017-12-04 17:06:19,937729792794705920,opinion billi bush yes donald trump said
2017-12-04 17:06:19,937729792106827776,singl human eah good anyth donald trump good asshol
2017-12-04 17:06:19,937729791637311489,wait hillari clinton goe prison
2017-12-04 17:06:18,937729788914966530,anonym take donald trump april 1 way gt gt
2017-12-04 17:06:18,937729787648462848,retweet think donald trump reput tatter respect fbi
2017-12-04 17:06:17,937729786214043650,admir gt must read aicl gt inform highway explain alot corrupt govern would want yo
2017-12-04 17:06:17,937729786000101376,break haim saban thank jare kushner video commit crime transit america one elec
2017-12-04 17:06:16,937729781293912064,pedophil rejoic like nazi white supremacist kkk fine peopl donald trump libe
