,ID,Tweet
2017-12-02 11:56:19,936927001352523776,ivanka trump visit india tomorrow attend global entrepreneurship summit hyderabad meet pm modi busi
2017-12-02 05:46:53,936834033215873024,ivanka trump visit india tomorrow attend global entrepreneurship summit hyderabad meet pm modi
2017-12-02 05:31:30,936830161462296576,ivanka trump visit india tomorrow attend global entrepreneurship summit hyderabad meet pm modi
2017-12-02 04:53:14,936820532191752192,contrast visit india obama ivanka
2017-12-02 04:33:55,936815669579988993,contrast visit india obama ivanka
2017-12-02 03:44:49,936803315282620416,prime minist us presid daughter advis open america eighth annual global entrepr
2017-12-02 01:18:02,936766372025049088,ivanka trump visit india global entrepreneurship summit
2017-12-01 22:19:39,936721481832288256,obama critic trump paus american leadership climat chang visit india day first daug
2017-12-01 16:47:24,936637868503650304,ivanka trump visit india amid critic cloth line labor practic cloth con
2017-12-01 14:20:42,936600952504799233,obama critic trump paus american leadership climat chang visit india day first daug
2017-12-01 14:06:41,936597424423837696,obama critic trump paus american leadership climat chang visit india day first daug
2017-12-01 13:59:56,936595726028759041,obama critic trump paus american leadership climat chang visit india day first
2017-12-01 12:38:12,936575153902731264,staup interest photo ivanka trump india visit
2017-12-01 11:40:30,936560635080458240,staup interest photo ivanka trump india visit
2017-12-01 09:24:06,936526307566927872,staup interest photo ivanka trump india visit
2017-11-30 22:45:42,936365649252814848,ivanka trump visit india amid critic cloth line labor practic cloth via
2017-11-30 12:33:06,936211483423322112,huffington ivanka trump visit india amid critic cloth line labor practic
2017-11-30 11:44:19,936199209623093248,ivanka trump visit golconda fo hyderabad ndtv hyderabad
2017-11-30 11:32:56,936196344800088064,year summit co host india america like attend 1500 busi leader 170 cou
2017-11-30 11:30:01,936195608964038656,year summit co host india america like attend 1500 busi leader 17
2017-11-30 11:06:44,936189747931705344,ivanka trump visit golconda fo hyderabad india ges2017 ges ivankatrump golcondafo hyderabad
2017-11-30 10:36:35,936182164089131008,ivanka trump visit golconda fo hyderabad india ges2017 ges ivankatrump golcondafo hyderabad
