,ID,Tweet
2017-12-04 21:04:57,937789845275017223,pope franci earlier today presenc god today also call rohingya
2017-12-04 21:04:51,937789823468761090,word christ grow us proclaim give other read messag pope franci gt https
2017-12-04 21:03:22,937789448254660608,pope franci greet thousand central park cbs new york
2017-12-04 21:03:16,937789424707960833,text pope latest flight press confer
2017-12-04 21:03:04,937789371708727298,dictat pope explos new book take insid look franci pope popefr tcot
2017-12-04 21:03:00,937789355976024065,text pope latest flight press confer
2017-12-04 21:01:20,937788937086652416,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 21:01:20,937788935824080902,offici act apostol see acta apostolica sedi aa 3 7
2017-12-04 20:59:29,937788470533283840,new book expos pope franci behind close door tyrann unprincipl popefranc
2017-12-04 20:59:18,937788425213759489,fix gaze holi famili nazareth forc becom refuge let us think tragedi
2017-12-04 20:58:40,937788265213636608,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 20:57:46,937788040784809989,gon na arrang type video confer bc peopl want need hear pope franci
2017-12-04 20:57:26,937787955506241537,sure got right glad hear see franci heret day got b
2017-12-04 20:57:19,937787924963262464,dictat pope explos new book take insid look franci pope popefr tcot
2017-12-04 20:57:14,937787905501810688,pope franci embarrass yet seek forgiv muslim refuge
2017-12-04 20:56:37,937787749159063556,icymi pope franci ask weekend caus chang church teach deterr
2017-12-04 20:55:18,937787418614185984,accept risen jesus life even u far away take small step toward await w open
2017-12-04 20:54:40,937787260468170752,pope concern muslim christian surpris discuss mohammedkoran va
2017-12-04 20:54:32,937787225454055425,pope franci peter matthew 16 18 say also unto thee thou peter upon rock
2017-12-04 20:54:09,937787128842539012,pope franci visit myanmar bangladesh display disappoint lack moral courag
2017-12-04 20:54:09,937787127655424000,perfect vocat pope franci say via
2017-12-04 20:53:56,937787073058263042,pope franci land washington c
2017-12-04 20:53:52,937787059644915712,sinc profil pic quot pope franci let us learn live kind love e
2017-12-04 20:52:25,937786691905052674,accept risen jesus life even u far away take small step toward await w open
2017-12-04 20:52:07,937786615535058944,condemn reign senseless brutal hindus bangladesh masscr buddhist hindus myanmar p
2017-12-04 20:52:04,937786606806646784,pope franci prayer intent decemb elder vatican radio
2017-12-04 20:51:55,937786566432268288,new book expos pope franci behind close door tyrann unprincipl popefranc
2017-12-04 20:51:17,937786407371800576,icymi pope franci popular worldwid young conserv question approach via
2017-12-04 20:51:10,937786378280194050,dictat pope explos new book take insid look franci pope popefr tcot
2017-12-04 20:51:10,937786376971522048,pope franci refer rohingya bangladesh
2017-12-04 20:50:55,937786317278253056,new book expos pope franci behind close door tyrann unprincipl
2017-12-04 20:50:24,937786183677038592,bibl road map time histori god speed brother amen franci pope
2017-12-04 20:50:08,937786117092409346,pope franci draw attent immedi climatechang threat pacif
2017-12-04 20:50:03,937786096804614145,icymi pope franci ask weekend caus chang church teach deterr
2017-12-04 20:49:28,937785950788349954,read heaven eah pope franci
2017-12-04 20:46:54,937785302843830272,jet vatican invit pope franci paicip social ju
